location,price,beds
minneapolis-mn,"$1,295 - 3,295",Studio - 2 Beds
minneapolis-mn,"$1,526 - 3,387",Studio - 3 Beds
minneapolis-mn,"$1,330 - 4,188",Studio - 2 Beds
minneapolis-mn,"$1,395 - 2,145",1-2 Beds
minneapolis-mn,"$1,223 - 4,555",Studio - 3 Beds
minneapolis-mn,"$1,495 - 1,550",Studio
minneapolis-mn,"$1,126 - 3,063",Studio - 3 Beds
minneapolis-mn,"$1,270 - 2,825",Studio - 2 Beds
minneapolis-mn,"$1,450 - 9,500",1-3 Beds
minneapolis-mn,"$1,000 - 2,890",Studio - 2 Beds
minneapolis-mn,"$1,205 - 2,459",1-2 Beds
minneapolis-mn,"$1,189 - 3,598",1-3 Beds
minneapolis-mn,"$1,347 - 1,914",1-2 Beds
minneapolis-mn,"$1,520 - 5,288",1-4 Beds
minneapolis-mn,"$949 - 1,029",1 Bed
minneapolis-mn,"$1,230 - 2,922",Studio - 2 Beds
minneapolis-mn,"$1,200",2 Beds
minneapolis-mn,"$1,050 - 1,810",Studio - 2 Beds
minneapolis-mn,"$1,250 - 1,350",1 Bed
minneapolis-mn,"$825 - 2,765",2-4 Beds
minneapolis-mn,"$1,007 - 1,802",Studio - 2 Beds
minneapolis-mn,"$949 - 1,686",Studio - 2 Beds
minneapolis-mn,"$1,165 - 1,270",Studio - 1 Bed
minneapolis-mn,"$800 - 1,190",Studio
minneapolis-mn,"$1,105 - 1,350",Studio - 1 Bed
minneapolis-mn,"$880 - 1,600",Studio - 1 Bed
minneapolis-mn,"$850 - 1,295",Studio - 1 Bed
minneapolis-mn,"$1,025 - 2,830",Studio - 2 Beds
minneapolis-mn,"$699 - 1,339",1-4 Beds
minneapolis-mn,"$1,331 - 2,947",1-2 Beds
minneapolis-mn,"$1,210 - 2,625",1-2 Beds
minneapolis-mn,"$950 - 1,299",Studio - 1 Bed
minneapolis-mn,"$629 - 1,679",Studio - 4 Beds
minneapolis-mn,"$700 - 1,550",Studio - 2 Beds
minneapolis-mn,"$1,700 - 3,800",1-3 Beds
minneapolis-mn,"$1,089 - 2,163",Studio - 2 Beds
minneapolis-mn,"$1,112 - 3,082",Studio - 3 Beds
minneapolis-mn,"$1,127 - 2,085",Studio - 2 Beds
minneapolis-mn,"$1,339 - 2,099",Studio - 2 Beds
minneapolis-mn,"$1,195 - 1,250",Studio
minneapolis-mn,"$1,195 - 1,325",Studio
minneapolis-mn,"$1,360 - 2,708",Studio - 2 Beds
minneapolis-mn,"$2,099 - 2,299",2 Beds
minneapolis-mn,Call for Rent,Studio - 2 Beds
minneapolis-mn,"$1,075 - 1,950",Studio - 2 Beds
minneapolis-mn,"$1,115 - 1,250",1 Bed
minneapolis-mn,"$2,195",3 Beds
minneapolis-mn,"$1,355 - 4,095",Studio - 2 Beds
minneapolis-mn,"$1,269 - 2,111",Studio - 2 Beds
minneapolis-mn,"$1,370 - 2,190",Studio - 3 Beds
minneapolis-mn,"$1,250 - 1,295",Studio
minneapolis-mn,"$1,799 - 2,699",2-3 Beds
minneapolis-mn,"$1,507 - 3,577",1-2 Beds
minneapolis-mn,"$1,140 - 1,499",1-2 Beds
minneapolis-mn,"$1,170 - 2,225",1 Bed
minneapolis-mn,"$1,346 - 3,834",Studio - 2 Beds
minneapolis-mn,"$1,320 - 3,150",1-4 Beds
minneapolis-mn,"$1,035 - 1,485",Studio - 1 Bed
minneapolis-mn,"$1,125 - 1,695",Studio - 2 Beds
minneapolis-mn,"$1,029 - 1,849",1-3 Beds
minneapolis-mn,"$871 - 1,250",Studio - 1 Bed
minneapolis-mn,"$2,085 - 2,495",3 Beds
minneapolis-mn,"$785 - 1,470",Studio - 4 Beds
minneapolis-mn,"$879 - 1,137",Studio - 1 Bed
minneapolis-mn,"$730 - 1,300",Studio - 2 Beds
minneapolis-mn,"$735 - 1,095",1-4 Beds
minneapolis-mn,$555 - 915,2-4 Beds
minneapolis-mn,"$1,588 - 4,038",1-2 Beds
minneapolis-mn,"$1,344 - 2,482",Studio - 2 Beds
minneapolis-mn,"$1,095 - 2,145",Studio - 2 Beds
minneapolis-mn,"$2,100 - 3,400",2-4 Beds
minneapolis-mn,"$1,339 - 2,349",Studio - 2 Beds
minneapolis-mn,"$1,250 - 3,475",1-5 Beds
minneapolis-mn,"$1,430 - 3,090",Studio - 2 Beds
minneapolis-mn,"$1,070 - 1,580",1 Bed
minneapolis-mn,"$1,195 - 1,650",Studio - 1 Bed
minneapolis-mn,"$1,480 - 2,950",Studio - 2 Beds
minneapolis-mn,"$960 - 3,515",Studio - 2 Beds
minneapolis-mn,"$1,275 - 1,285",2 Beds
minneapolis-mn,"$1,100 - 1,350",Studio - 1 Bed
minneapolis-mn,"$1,035 - 1,055",1 Bed
minneapolis-mn,"$875 - 1,450",1-2 Beds
minneapolis-mn,"$950 - 1,250",Studio
minneapolis-mn,"$1,245 - 2,250",Studio - 2 Beds
minneapolis-mn,"$995 - 1,190",Studio - 1 Bed
minneapolis-mn,"$540 - 1,015",2-4 Beds
minneapolis-mn,"$1,095 - 1,700",Studio - 3 Beds
minneapolis-mn,"$900 - 2,172",1-2 Beds
minneapolis-mn,"$845 - 1,140",1 Bed
minneapolis-mn,"$799 - 1,350",Studio - 2 Beds
minneapolis-mn,"$1,319",2 Beds
minneapolis-mn,"$1,289 - 1,299",2 Beds
minneapolis-mn,"$1,357 - 2,400",1-3 Beds
minneapolis-mn,"$999 - 1,239",1-2 Beds
minneapolis-mn,$830 - 850,1 Bed
minneapolis-mn,"$1,645",1 Bed
minneapolis-mn,"$1,245 - 1,995",1-2 Beds
minneapolis-mn,Call for Rent,1-2 Beds
minneapolis-mn,"$1,480 - 2,000",Studio - 2 Beds
minneapolis-mn,"$1,090",1-2 Beds
minneapolis-mn,"$1,711 - 1,736",1-2 Beds
minneapolis-mn,"$1,175",Studio
minneapolis-mn,"$1,250 - 2,750",Studio - 2 Beds
minneapolis-mn,"$1,375 - 1,995",1-2 Beds
minneapolis-mn,"$1,125 - 2,650",1-4 Beds
minneapolis-mn,$800,Studio
minneapolis-mn,$875,Studio
minneapolis-mn,"$1,200",Studio - 2 Beds
minneapolis-mn,"$1,291 - 4,359",Studio - 2 Beds
