,location,price,beds
517,new-york-ny,8443,3
518,new-york-ny,5750,1
519,new-york-ny,6825,1
520,new-york-ny,3900,1
521,new-york-ny,3300,1
522,new-york-ny,3395,1
523,new-york-ny,3595,4
524,new-york-ny,3204,1
525,new-york-ny,2961,1
526,new-york-ny,3881,1
527,new-york-ny,3689,1
528,new-york-ny,3711,1
529,new-york-ny,3003,1
530,new-york-ny,3730,1
531,new-york-ny,4705,1
532,new-york-ny,3900,1
533,new-york-ny,3695,1
534,new-york-ny,4850,1
535,new-york-ny,3857,1
536,new-york-ny,7350,1
537,new-york-ny,2700,1
538,new-york-ny,3395,1
539,new-york-ny,3061,1
540,new-york-ny,4125,1
541,new-york-ny,3695,1
542,new-york-ny,7000,1
543,new-york-ny,4335,1
544,new-york-ny,4050,1
545,new-york-ny,2400,1
546,new-york-ny,1308,1
547,new-york-ny,12000,2
548,new-york-ny,6525,2
549,new-york-ny,4450,1
550,new-york-ny,6450,2
551,new-york-ny,4220,1
552,new-york-ny,5025,1
553,new-york-ny,5300,1
554,new-york-ny,4013,1
555,new-york-ny,4295,2
556,new-york-ny,2700,2
557,new-york-ny,2200,1
558,new-york-ny,2180,1
559,new-york-ny,4747,1
560,new-york-ny,8010,1
561,new-york-ny,4000,1
562,new-york-ny,8000,1
563,new-york-ny,2700,2
564,new-york-ny,3650,2
565,new-york-ny,50000,6
566,new-york-ny,75000,3
567,new-york-ny,7000,3
568,new-york-ny,2595,1
569,new-york-ny,3000,3
570,new-york-ny,2050,1
571,new-york-ny,3950,4
572,new-york-ny,2300,2
573,new-york-ny,3375,2
574,new-york-ny,5999,1
575,new-york-ny,3050,1
576,new-york-ny,2950,1
577,new-york-ny,3100,1
578,new-york-ny,8000,4
579,new-york-ny,3800,2
580,new-york-ny,6875,3
581,new-york-ny,2995,3
582,new-york-ny,3375,2
583,new-york-ny,3600,1
584,new-york-ny,9500,2
585,new-york-ny,4495,1
586,new-york-ny,5300,3
587,new-york-ny,3600,3
588,new-york-ny,8000,4
589,new-york-ny,4200,1
590,new-york-ny,3400,1
591,new-york-ny,8600,3
592,new-york-ny,3995,1
593,new-york-ny,7495,1
594,new-york-ny,4000,2
595,new-york-ny,2150,1
596,new-york-ny,1995,1
597,new-york-ny,4295,1
598,new-york-ny,4800,2
599,new-york-ny,2695,1
600,new-york-ny,6000,1
601,new-york-ny,5895,2
602,new-york-ny,5595,3
603,new-york-ny,3995,2
604,new-york-ny,3995,1
605,new-york-ny,5900,2
606,new-york-ny,3750,1
607,new-york-ny,4800,1
608,new-york-ny,7180,1
609,new-york-ny,5380,1
610,new-york-ny,52000,5
611,new-york-ny,2248,1
612,new-york-ny,67708,1
613,new-york-ny,3295,1
614,new-york-ny,4150,1
615,new-york-ny,4350,3
616,new-york-ny,3295,1
617,new-york-ny,8350,1
618,new-york-ny,5000,4
619,new-york-ny,75000,6
620,new-york-ny,85000,8
621,new-york-ny,70000,4
622,new-york-ny,2999,4
623,new-york-ny,2199,2
624,new-york-ny,2375,3
625,new-york-ny,2900,1
626,new-york-ny,3400,4
627,new-york-ny,2550,1
628,new-york-ny,4300,3
629,new-york-ny,2150,1
630,new-york-ny,2195,1
631,new-york-ny,5250,4
632,new-york-ny,7700,5
633,new-york-ny,4250,3
634,new-york-ny,4600,3
635,new-york-ny,2800,2
636,new-york-ny,2150,1
637,new-york-ny,3495,3
638,new-york-ny,4995,1
639,new-york-ny,4000,2
640,new-york-ny,4700,2
641,new-york-ny,3600,2
642,new-york-ny,4795,2
643,new-york-ny,4500,2
644,new-york-ny,3495,3
645,new-york-ny,2250,1
646,new-york-ny,3000,1
647,new-york-ny,2425,2
648,new-york-ny,3550,2
649,new-york-ny,5000,4
650,new-york-ny,5500,4
651,new-york-ny,4300,3
652,new-york-ny,2800,2
